[2026-05-27 16:20:49] [INFO] === KCDW 모니터링 시스템 기동 ===
[2026-05-27 16:20:49] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:20:49] [INFO] 자체 서명 SSL 인증서가 존재하지 않아 자동 생성을 시작합니다...
[2026-05-27 16:20:49] [INFO] SSL 인증서(private.key / cert.crt) 자동 생성 완료
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:28:57] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:29:07] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:29:17] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:29:28] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:29:38] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:29:48] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:29:58] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:30:08] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:30:18] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:30:28] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:30:39] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:30:49] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:30:59] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:31:09] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:31:19] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:31:29] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:31:40] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.92 MB
[2026-05-27 16:31:50] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.92 MB
[2026-05-27 16:32:00] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.92 MB
[2026-05-27 16:32:10] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.92 MB
[2026-05-27 16:32:20] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.92 MB
[2026-05-27 16:32:30] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.92 MB
[2026-05-27 16:32:40] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.90 MB
